,Time (ps),Rg (A)
0,0.0,22.136067003181395
1,100.0,22.39038448461318
2,200.0,22.336763329330633
3,300.0,22.351731532260153
4,400.0,22.36729053510002
5,500.0,22.095504863780423
6,600.0,22.187941737049947
7,700.0,22.035263887132825
8,800.0,22.336205125049485
9,900.0,22.222682406440786
10,1000.0,22.30777422733689
11,1100.0,22.19092693354534
12,1200.0,22.32907527232082
13,1300.0,22.244820260108167
14,1400.0,22.201670266545726
15,1500.0,22.268026673798726
16,1600.0,22.364397529081547
17,1700.0,22.31524201928518
18,1800.0,22.311617641161547
19,1900.0,22.433047031011252
20,2000.0,22.24637298277684
