,t,Rg
0,0.0,21.89299206339495
1,100.0,22.11873162625332
2,200.0,22.067251194169714
3,300.0,22.07413803220995
4,400.0,22.074488271754035
5,500.0,21.817822699955517
6,600.0,21.920003035327536
7,700.0,21.750840773681645
8,800.0,22.047322822722045
9,900.0,21.943579523082253
10,1000.0,21.99222525940606
11,1100.0,21.897785562249997
12,1200.0,22.05016274555465
13,1300.0,21.977923368707714
14,1400.0,21.937728319341936
15,1500.0,21.980532694633812
16,1600.0,22.08305813475397
17,1700.0,22.035631506616177
18,1800.0,22.022362611532373
19,1900.0,22.147338236394187
20,2000.0,21.968388002878665
