,t,Rg
0,0.0,21.93110387730557
1,100.0,22.16109649773439
2,200.0,22.107917834800052
3,300.0,22.11856263994787
4,400.0,22.11615929239242
5,500.0,21.863093776002255
6,600.0,21.96796943505519
7,700.0,21.796788627512246
8,800.0,22.091617688118173
9,900.0,21.98462972670135
10,1000.0,22.0342930248988
11,1100.0,21.939775366213492
12,1200.0,22.093477818031037
13,1300.0,22.017370316129032
14,1400.0,21.97678045478302
15,1500.0,22.023141042749764
16,1600.0,22.122178948754108
17,1700.0,22.078689217914466
18,1800.0,22.06557227106202
19,1900.0,22.187916381075233
20,2000.0,22.01166604020389
