,Time (ps),Rg (A)
0,0.0,22.126069217566783
1,100.0,22.38017985706897
2,200.0,22.325051682560407
3,300.0,22.34107935818326
4,400.0,22.356066719352054
5,500.0,22.085544427230737
6,600.0,22.177102159806367
7,700.0,22.025036143727785
8,800.0,22.325613319759356
9,900.0,22.2128592165065
10,1000.0,22.296597184681108
11,1100.0,22.180882891434468
12,1200.0,22.32050213935336
13,1300.0,22.235288825243686
14,1400.0,22.19325504190041
15,1500.0,22.259761973128384
16,1600.0,22.355945577680572
17,1700.0,22.30547922459971
18,1800.0,22.302489982518185
19,1900.0,22.42318997975736
20,2000.0,22.23737031140218
