,t,Rg
0,500.0,4.918230005194532
1,510.0,5.438982451478305
2,520.0,4.935803711715556
3,530.0,4.92141469265009
4,540.0,4.954346920538725
5,550.0,4.919690020447369
6,560.0,5.33941958140594
7,570.0,5.914169974481075
8,580.0,5.649037398247038
9,590.0,6.050941224718576
10,600.0,5.5967549532395795
11,610.0,5.955281725007772
12,620.0,6.567861205083466
13,630.0,6.729818556068492
14,640.0,5.567983401025213
15,650.0,4.892102534295797
16,660.0,5.017154808308761
17,670.0,5.122445036809203
18,680.0,5.0727836425579245
19,690.0,4.603054605239821
20,700.0,5.023908116316114
21,710.0,4.835276463712186
22,720.0,4.87954036325402
23,730.0,5.1221397110663425
24,740.0,5.232715536021408
25,750.0,5.151553207088403
26,760.0,4.9003843488432945
27,770.0,4.912251976430639
28,780.0,4.529375069598373
29,790.0,4.666247268454347
30,800.0,4.801714875482894
31,810.0,4.789019916016532
32,820.0,5.025704202197912
33,830.0,5.2853325540630305
34,840.0,5.339509239833098
35,850.0,4.759031958546662
36,860.0,5.021889407439093
37,870.0,5.299146691307881
38,880.0,5.0750331835590545
39,890.0,5.166577163571371
40,900.0,5.033305481808293
41,910.0,4.642537992217134
42,920.0,5.081570967192672
43,930.0,4.759708908979077
44,940.0,4.797591642711052
45,950.0,5.599273666999181
46,960.0,5.818783737409798
47,970.0,5.261589864954063
48,980.0,4.864375364775207
49,990.0,5.030686101935
50,1000.0,4.930030804193946
51,1010.0,5.241824194868609
52,1020.0,5.166947067423419
53,1030.0,4.948867954622327
54,1040.0,5.369412344206219
55,1050.0,5.661049153939947
56,1060.0,5.19122454471614
57,1070.0,5.341407815249465
58,1080.0,5.339537445469584
59,1090.0,5.026223803829613
60,1100.0,4.972673998542958
61,1110.0,4.997826695622719
62,1120.0,4.948868005511404
63,1130.0,5.0424443726125086
64,1140.0,4.977027184351391
65,1150.0,4.929161352767247
66,1160.0,4.642296825847325
67,1170.0,5.01915978860772
68,1180.0,5.149964547563178
69,1190.0,5.204984547915032
70,1200.0,5.9713783975761485
71,1210.0,5.45037076438269
72,1220.0,5.382464954140052
73,1230.0,5.658597178866892
74,1240.0,6.479103326694919
75,1250.0,6.7858677454705845
76,1260.0,5.815388885769883
77,1270.0,6.2239035210980305
78,1280.0,7.088053361383661
79,1290.0,6.392711825813131
80,1300.0,5.6840619530368155
81,1310.0,5.792754614071236
82,1320.0,5.698117619761752
83,1330.0,5.156016133044807
84,1340.0,4.856109746504344
85,1350.0,4.970223506892069
86,1360.0,5.065178505068148
87,1370.0,5.204421791494965
88,1380.0,4.656795575484442
89,1390.0,4.84071327248909
90,1400.0,4.87795974605557
91,1410.0,4.731948935990493
92,1420.0,5.073186663717929
93,1430.0,4.806130667746494
94,1440.0,4.708653873540072
95,1450.0,4.601775437580395
96,1460.0,4.751407478457142
97,1470.0,4.766445140055099
98,1480.0,4.841976802230091
99,1490.0,4.813795932171867
100,1500.0,4.870500197026765
101,1510.0,4.951575399620292
102,1520.0,5.044370351264017
103,1530.0,4.872463401938441
104,1540.0,4.9004629731127425
105,1550.0,5.019978021914473
106,1560.0,5.039600243105598
107,1570.0,4.848021685013067
108,1580.0,4.67942167021483
109,1590.0,4.324989507062635
110,1600.0,4.485872250490603
111,1610.0,4.67733919886311
112,1620.0,4.69656740612568
113,1630.0,4.758353212504894
114,1640.0,5.075258224544929
115,1650.0,5.246552371870327
116,1660.0,4.9087427862493085
117,1670.0,5.113202018085144
118,1680.0,4.985529817151443
119,1690.0,4.759264422236377
120,1700.0,4.786845232731057
121,1710.0,4.7905877085210555
122,1720.0,4.609957829378354
123,1730.0,4.583459839050243
124,1740.0,4.872379240633001
125,1750.0,5.084675797195403
126,1760.0,4.849014156619158
127,1770.0,4.653326093922679
128,1780.0,4.819592187446047
129,1790.0,4.7130232635211655
130,1800.0,4.533635271739933
131,1810.0,4.509551791387469
132,1820.0,4.621420888726618
133,1830.0,5.088119144032962
134,1840.0,4.952792201881049
135,1850.0,5.065570971346238
136,1860.0,4.995813680146861
137,1870.0,5.294958140870247
138,1880.0,4.850040863504682
139,1890.0,5.122018838600865
140,1900.0,5.001328806384951
141,1910.0,5.230950079931676
142,1920.0,5.092632675905873
143,1930.0,4.9917458926208065
144,1940.0,5.2611209306058075
145,1950.0,4.9047068221350685
146,1960.0,4.911530352450242
147,1970.0,4.950648209904102
148,1980.0,4.545246098053176
149,1990.0,4.740413770343908
150,2000.0,4.534178203390573
151,2010.0,4.704534152431604
152,2020.0,4.672046387327147
153,2030.0,4.70370794553987
154,2040.0,4.565382133022614
155,2050.0,4.8208237899432165
156,2060.0,4.7981325094723175
157,2070.0,4.709428237529328
158,2080.0,4.770674300278576
159,2090.0,4.675872833834006
160,2100.0,4.644716829181488
161,2110.0,4.372159666327361
162,2120.0,4.434146959398525
163,2130.0,4.619024632995724
164,2140.0,4.6213712096305555
165,2150.0,4.439629452209581
166,2160.0,4.320816482938714
167,2170.0,4.716880553974225
168,2180.0,4.700551901483776
169,2190.0,4.711783072787744
170,2200.0,4.565437326989196
171,2210.0,5.276462498552576
172,2220.0,5.237466163565003
173,2230.0,5.344172004413383
174,2240.0,4.694675219085605
175,2250.0,4.685377442822388
176,2260.0,4.999193122749634
177,2270.0,5.12707092200791
178,2280.0,5.0513125555099965
179,2290.0,5.1234419974090235
180,2300.0,4.868802787824521
181,2310.0,4.875819618132007
182,2320.0,4.937384029337128
183,2330.0,4.899408762336364
184,2340.0,5.083983130512497
185,2350.0,5.611728095328838
186,2360.0,5.781959705880691
187,2370.0,6.05913127209741
188,2380.0,5.7110637221055995
189,2390.0,6.383481857156879
190,2400.0,5.3279589817252795
191,2410.0,5.016751762375441
192,2420.0,5.103246753988701
193,2430.0,5.101231115817202
194,2440.0,5.209638783119943
195,2450.0,4.829647471032253
196,2460.0,4.5070749089297095
197,2470.0,4.417869711432438
198,2480.0,4.390783660653179
199,2490.0,4.358806423130503
200,2500.0,4.557505231779705
201,2510.0,4.295312579808738
202,2520.0,4.320118862453305
203,2530.0,4.54532882427788
204,2540.0,4.412061653710808
205,2550.0,4.452068548620277
206,2560.0,4.370786334911461
207,2570.0,4.691056266595411
208,2580.0,4.398477080624902
209,2590.0,4.388317598351126
210,2600.0,4.490148940074099
211,2610.0,4.430690657873636
212,2620.0,4.784276900803344
213,2630.0,4.657340049728335
214,2640.0,4.78790094865433
215,2650.0,4.629818304069213
216,2660.0,4.7308118689678125
217,2670.0,4.856241001418603
218,2680.0,4.894221347760033
219,2690.0,5.323629799300512
220,2700.0,5.3531732131236005
221,2710.0,5.511831494451146
222,2720.0,5.429846671371821
223,2730.0,5.4242171144058995
224,2740.0,4.5434018458073435
225,2750.0,4.830663662203507
226,2760.0,4.86476829002462
227,2770.0,4.861657127120509
228,2780.0,5.074170400825595
229,2790.0,4.682392062113787
230,2800.0,4.675814017756748
231,2810.0,4.898389032184431
232,2820.0,4.833311742304975
233,2830.0,4.675770966102861
234,2840.0,4.923459557647377
235,2850.0,4.647831698085015
236,2860.0,4.804329588527854
237,2870.0,5.105137303822638
238,2880.0,5.129436470173927
239,2890.0,4.92512475260611
240,2900.0,5.478117956162325
241,2910.0,5.564630127462711
242,2920.0,5.596984029571258
243,2930.0,5.206769650865197
244,2940.0,4.85737232678684
245,2950.0,4.634134045033401
246,2960.0,4.558874633850383
247,2970.0,4.705383570826117
248,2980.0,5.0987971374912275
249,2990.0,4.704547888626231
250,3000.0,5.31608853838735
251,3010.0,5.6321756729012264
252,3020.0,5.1225465814252935
253,3030.0,5.572871845301902
254,3040.0,5.435905624840588
255,3050.0,5.788756776681808
256,3060.0,5.355867888409995
257,3070.0,4.710952851925204
258,3080.0,4.804185127592312
259,3090.0,4.700386264629693
260,3100.0,4.5679827884955975
261,3110.0,4.649708478937408
262,3120.0,4.5249486085392
263,3130.0,4.555809754322052
264,3140.0,4.7482621169229215
265,3150.0,4.487003688615607
266,3160.0,4.545516640639223
267,3170.0,4.800493351950447
268,3180.0,4.8448643570645205
269,3190.0,4.586054964725523
270,3200.0,5.047482919789699
271,3210.0,5.194759129103504
272,3220.0,4.939293152922238
273,3230.0,4.8058460583529605
274,3240.0,4.8436987261965
275,3250.0,4.981739895111236
276,3260.0,4.776543057792101
277,3270.0,4.634614165433147
278,3280.0,4.828767935442197
279,3290.0,4.826560652849188
280,3300.0,4.694954263574673
281,3310.0,4.725663895899861
282,3320.0,4.918655329708244
283,3330.0,5.105786769331916
284,3340.0,5.567525888521842
285,3350.0,5.570550159374061
286,3360.0,5.593263012905556
287,3370.0,5.83553127232279
288,3380.0,5.283789368976421
289,3390.0,5.298520015540131
290,3400.0,5.061527098011312
291,3410.0,4.969720653193008
292,3420.0,4.900794147548986
293,3430.0,5.3365494790931045
294,3440.0,4.643519430224671
295,3450.0,4.762795959883221
296,3460.0,4.915765658250256
297,3470.0,5.059880050815865
298,3480.0,5.283499244845456
299,3490.0,5.11325905079927
300,3500.0,5.877348946619385
301,3510.0,5.258929416805543
302,3520.0,5.546022510151346
303,3530.0,5.805101511160823
304,3540.0,5.834879754885672
305,3550.0,6.050524648892124
306,3560.0,6.027835524046654
307,3570.0,5.796340658225038
308,3580.0,5.57536419415077
309,3590.0,5.712448764573705
310,3600.0,5.1018978828882995
311,3610.0,5.16368525699261
312,3620.0,5.103394932606245
313,3630.0,4.803077643450927
314,3640.0,4.987268548981568
315,3650.0,5.116391924937902
316,3660.0,4.603506198538091
317,3670.0,4.971260096972959
318,3680.0,4.940904268214937
319,3690.0,5.088851531806194
320,3700.0,5.329632031014259
321,3710.0,5.643567175719138
322,3720.0,5.746831956296466
323,3730.0,5.832198079783271
324,3740.0,5.9224857963360105
325,3750.0,5.981682012343092
326,3760.0,5.820749843138483
327,3770.0,6.371022991070758
328,3780.0,6.3048724454606075
329,3790.0,6.288486564084057
330,3800.0,6.612894709330621
331,3810.0,6.219905426427373
332,3820.0,5.682511471434984
333,3830.0,6.014885700784454
334,3840.0,6.223113349846821
335,3850.0,6.380973055464125
336,3860.0,6.411783925270134
337,3870.0,6.7362583731211325
338,3880.0,7.064786285453232
339,3890.0,6.815672721955436
340,3900.0,6.591973151186576
341,3910.0,6.608804812464743
342,3920.0,6.587654700776731
343,3930.0,7.205204782950419
344,3940.0,7.120716857325216
345,3950.0,6.852027144103711
346,3960.0,6.902907618662191
347,3970.0,7.463583160461274
348,3980.0,7.159704834498174
349,3990.0,7.031397077796143
350,4000.0,7.257482342286583
